NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
143,Djambu Indah Hotel,Non Bintang,Melati,16,Jl. Mas Suharto No. 16 Tegalpanggung,-7.793637091,110.3703214,430574.1244,9138464.045,,,,,,,,,,,,,,,,
144,Djava Homestay,Non Bintang,Akomodasi Lain,10,Timuran MG 3/104 C,-7.795756984,110.3745821,431044.2575,9138230.374,,,,,,,,,,,,,,,,
145,Doyani Home Syariah,Non Bintang,Pondok Wisata,5,Jl. Poncowolo 13 Ketanggungan Wirobrajan,-7.805252567,110.3463436,427932.3078,9137175.852,,,,,,,,,,,,,,,,
146,DS 681 Home Stay,Non Bintang,Akomodasi Lain,5,Gg. Hansip Karno Waluyo DN 2/681,-7.79060468,110.3715189,430705.6672,9138799.495,,,,,,,,,,,,,,,,
147,Dsenopati Malioboro Grand Hotel,Bintang,Bintang Tiga,108,Jl. Panembahan Senopati No. 40 Prawirodirjan,-7.801555863,110.3700171,430541.8786,9137588.52,,,,,,,,,,,,,,,,
148,Dtalent Hotel,Non Bintang,Melati,24,Prawirotaman MG3,-7.820656184,110.3693109,430467.172,9135476.728,,,,,,,,,,,,,,,,
149,Dumai Family And Guest House,Non Bintang,Pondok Wisata,3,Kauman GM 1/231,-7.805002691,110.3614445,429597.2532,9137206.028,,,,,,,,,,,,,,,,
150,Dusun Jogja Village Inn,Bintang,Bintang Tiga,24,"Jl. Menukan 5, Karangkajen",-7.823667183,110.3688657,430418.5941,9135143.767,,,,,,,,,,,,,,,,
151,Duta Garden Hotel,Non Bintang,Melati,18,Timuran MG 3/103,-7.816537711,110.3695116,430488.6196,9135932.088,,,,,,,,,,,,,,,,
152,Duta Guest House,Non Bintang,Pondok Wisata,25,Jl. Prawirotaman No. 26,-7.819183042,110.3709846,430651.4689,9135639.871,,,,,,,,,,,,,,,,
153,Duta Kencana Hotel,Non Bintang,Melati,14,Jl. Ireda 76,-7.813640668,110.3715104,430708.5185,9136252.705,,,,,,,,,,,,,,,,
154,Duta Wisata Hotel,Non Bintang,Melati,18,Jl. Urip Sumoharjo No. 79,-7.779464868,110.3832898,432001.7454,9140032.987,,,,,,,,,,,,,,,,
155,Duta Wisata II Hotel,Non Bintang,Melati,19,Jl. Laksda Adisucipto No. 8,-7.782961314,110.3883732,432562.8196,9139647.246,,,,,,,,,,,,,,,,
156,Dwi Warna Hotel,Non Bintang,Melati,19,Jl. S. Parman No. 46,-7.807827372,110.3532486,428694.0758,9136892.362,,,,,,,,,,,,,,,,
157,Dwijaya Wisma,Non Bintang,Melati,9,Mantrijeron MJ 3/831,-7.819531475,110.3660709,430109.772,9135600.536,,,,,,,,,,,,,,,,
158,Eclipse Hotel,Bintang,Bintang Dua,27,Jl. Prawirotaman No. 35,-7.818932554,110.3720651,430770.5552,9135667.742,,,,,,,,,,,,,,,,
159,Edelweiss Hotel,Bintang,Bintang Tiga,95,Jl. Gejayan No. 17 C,-7.779988163,110.3879194,432512.3006,9139975.875,,,,,,,,,,,,,,,,
160,Edotel Kenari Yogyakarta,Non Bintang,Melati,20,Jl. Kenari No.4,-7.797567054,110.3822279,431887.5753,9138031.499,,,,,,,,,,,,,,,,
161,Edotel Umbulharjo Yogyakarta,Non Bintang,Melati,15,Jl. Sidikan No. 60,-7.820581326,110.385236,432222.9578,9135487.601,,,,,,,,,,,,,,,,
162,Edu Hostel,Non Bintang,Melati,60,Jl. Letjend Suprapto No. 17,-7.799230555,110.3561532,429012.8826,9137843.293,,,,,,,,,,,,,,,,
163,Ekkon Hotel,Non Bintang,Melati,24,Jl. Hos Cokroaminoto Cokro Square Kavling O,-7.789464829,110.3540804,428782.6787,9138922.616,,,,,,,,,,,,,,,,
164,Eko Ariyanto Homestay,Non Bintang,Akomodasi Lain,3,Sosrowijayan Wetan GT 1 No 106,-7.790055349,110.3651598,430004.4113,9138859.18,,,,,,,,,,,,,,,,
165,El Royal Hotel Malioboro,Bintang,Bintang Empat,108,Dagen No. 6,-7.793397221,110.3649514,429981.9929,9138489.678,,,,,,,,,,,,,,,,
166,Emdi House Timoho,Non Bintang,Melati,10,Jl. Timoho 2 No. 32 A,-7.79566153,110.3908904,432842.3947,9138243.555,,,,,,,,,,,,,,,,
167,Emersia Malioboro Hotel,Bintang,Bintang Tiga,51,Jl. Gowongan Kidul No. 34,-7.786754877,110.3641288,429890.1862,9139223.9,,,,,,,,,,,,,,,,
168,Emilia Homestay Kost Eksklusive,Non Bintang,Pondok Wisata,10,Gejayan Kepuh GK III/976,-7.780906983,110.3866352,432370.8505,9139874.088,,,,,,,,,,,,,,,,
169,F77 Hotel,Non Bintang,Melati,19,Jl. RE Martadinata 73,-7.800885367,110.3489675,428220.8748,9137659.126,,,,,,,,,,,,,,,,
170,Famili Homestay,Non Bintang,Melati,16,Jl. Sosrowijayan No. 47,-7.79141729,110.362916,429757.2354,9138708.236,,,,,,,,,,,,,,,,
171,Familia Residence,Non Bintang,Melati,15,Jl. Bausaran DN 3/949,-7.796185093,110.3753659,431130.7572,9138183.172,,,,,,,,,,,,,,,,
172,Family Losmen,Non Bintang,Melati,25,Jl. Dagen No. 14,-7.793435967,110.3645338,429935.9511,9138485.325,,,,,,,,,,,,,,,,
173,Family Villa,Non Bintang,Vila,3,Awana Town House No. 19,-7.813205175,110.366304,430134.4143,9136299.993,,,,,,,,,,,,,,,,
174,Faros/Home Stay Agus,Non Bintang,Pondok Wisata,2,Kemetiran Kidul GT 2 No. 742,-7.79281191,110.3569802,429102.9804,9138553.059,,,,,,,,,,,,,,,,
175,Fatia Homestay,Non Bintang,Akomodasi Lain,2,Kebun Raya No. 29 Gg. Teratai,-7.805734894,110.3984886,433681.7477,9137131.081,,,,,,,,,,,,,,,,
176,Fave Hotel,Bintang,Bintang Tiga,101,Jl. Kusumanegara No. 91,-7.801025374,110.3882374,432550.7292,9137650.124,,,,,,,,,,,,,,,,
177,Fave Hotel Malioboro,Bintang,Bintang Tiga,75,Jl. I Dewa Nyoman Oka No. 30 Kotabaru,-7.785359696,110.3699484,430531.6384,9139379.107,,,,,,,,,,,,,,,,
178,Fevytra Hotel,Non Bintang,Melati,22,Jl. Prof. Dr. Supomo SH 1060,-7.81322148,110.3892919,432668.9533,9136301.932,,,,,,,,,,,,,,,,
179,Forriz Hotel,Bintang,Bintang Empat,116,Hos Cokroaminoto No. 60 Pakuncen,-7.795292679,110.3534946,428719.0731,9138278.206,,,,,,,,,,,,,,,,
180,Fortuna Guest House,Non Bintang,Pondok Wisata,9,Jl. Pugeran Timur No. 22,-7.815102148,110.3591289,429343.6376,9136089.072,,,,,,,,,,,,,,,,
181,Front One Cabin Malioboro,Bintang,Bintang Satu,27,Jl. Jagalan Beji No. 61,-7.79694509,110.3705555,430600.4864,9138098.361,,,,,,,,,,,,,,,,
182,Gaia Cosmo Hotel,Bintang,Bintang Tiga,179,Jl. Ipda Tut Harsono No. 16 Muja Muju,-7.798723673,110.3928705,433061.1979,9137905.329,,,,,,,,,,,,,,,,
183,Gajah Guest House Wisma,Non Bintang,Pondok Wisata,25,Jl. Prawirotaman No. 4,-7.818885813,110.368604,430388.9483,9135672.339,,,,,,,,,,,,,,,,
184,Gallery Prawirotaman Hotel,Bintang,Bintang Empat,94,Jl. Prawirotaman II/ Jl. Gerilya No. 839 B MG,-7.820140155,110.3712935,430685.6842,9135534.106,,,,,,,,,,,,,,,,
185,Galuh Anindita Hotel,Non Bintang,Melati,30,Jl. Candra Kirana No. 10,-7.781290323,110.376991,431307.504,9139830.154,,,,,,,,,,,,,,,,
186,Gautama Hotel,Non Bintang,Melati,10,Sosrokusuman DN I/181,-7.793777881,110.3673315,430244.4791,9138447.987,,,,,,,,,,,,,,,,
187,Gedong Kuning Hotel,Non Bintang,Melati,15,Jl Gedong Kuning No. 82A,-7.806277836,110.4018953,434057.4439,9137071.589,,,,,,,,,,,,,,,,
188,Giri Artha Guest House,Non Bintang,Akomodasi Lain,11,Tegal Panggung No. 42,-7.794719071,110.3710637,430656.157,9138344.547,,,,,,,,,,,,,,,,
189,Gloria Amanda Hotel,Non Bintang,Melati,42,Jl. Sosrowijayan GT I/195,-7.790886558,110.3634111,429811.7405,9138766.994,,,,,,,,,,,,,,,,
190,Glory Homestay,Non Bintang,Pondok Wisata,3,Timuran MG 3 No. 85,-7.81729967,110.3687787,430407.9468,9135847.727,,,,,,,,,,,,,,,,
191,Good Karma Home Stay,Non Bintang,Pondok Wisata,5,Timuran MG 3/100,-7.816474511,110.3693442,430470.1548,9135939.047,,,,,,,,,,,,,,,,
192,Gowongan Inn,Bintang,Bintang Tiga,54,Jl. Gowongan Kidul No. 50,-7.786787086,110.3631925,429786.9466,9139220.183,,,,,,,,,,,,,,,,
193,Grage Jogja Hotel,Bintang,Bintang Dua,87,Jl. Sosrowijayan No. 242,-7.791100739,110.3623193,429691.3868,9138743.133,,,,,,,,,,,,,,,,
194,Grage Ramayana Hotel,Bintang,Bintang Tiga,71,Jl. Sosrowijayan No. 33,-7.791731799,110.3638782,429863.3778,9138673.624,,,,,,,,,,,,,,,,
195,Graha Kinasih Kotabaru,Bintang,Bintang Satu,19,"Jl. Ungaran No. 1 Kotabaru, Gondokusuman",-7.786970576,110.3706131,430605.1934,9139201.122,,,,,,,,,,,,,,,,
196,Gran Puri Saron Hotel,Non Bintang,Melati,47,Sosrowijayan No. 70,-7.79110023,110.3628993,429755.3459,9138743.286,,,,,,,,,,,,,,,,
197,Grand Aston Yogyakarta Hotel Convention Center,Bintang,Bintang Lima,146,Jl. Urip Sumoharjo No. 37,-7.782585054,110.3819042,431849.4656,9139687.807,,,,,,,,,,,,,,,,
198,Grand Marto Hotel,Non Bintang,Melati,16,Jl. Sisingamangaraja No. 78,-7.818658267,110.3730824,430882.6632,9135698.233,,,,,,,,,,,,,,,,
199,Grand Rosela Hotel,Bintang,Bintang Satu,51,Jl. Prawirotaman No. 28,-7.819124338,110.3711863,430673.6878,9135646.394,,,,,,,,,,,,,,,,
200,Grand Senyum Hotel,Bintang,Bintang Tiga,57,Jl. P. Diponegoro No. 27,-7.783204494,110.3654376,430033.9041,9139616.636,,,,,,,,,,,,,,,,
201,Grand Surya Hotel,Non Bintang,Melati,17,Jl. Suryodoningratan No. 428,-7.817276712,110.3582288,429244.7649,9135848.507,,,,,,,,,,,,,,,,
202,Grand Zea Homestay,Non Bintang,Akomodasi Lain,10,Golo Gang Pulanggeni No. 5/421 A,-7.814336923,110.3807049,431722.3709,9136177.231,,,,,,,,,,,,,,,,
203,Grand Zuri Malioboro Yogyakarta Hotel,Bintang,Bintang Empat,138,Jl. Margo Utomo No. 18,-7.787454456,110.367003,430207.2116,9139147.032,,,,,,,,,,,,,,,,
204,Green Host PT Samudra Parama Avi Rodha Hotel,Bintang,Bintang Tiga,96,Prawirotaman 2/629,-7.819997197,110.369066,430440.0647,9135549.544,,,,,,,,,,,,,,,,
205,Grha Somaya Hotel,Non Bintang,Melati,34,Jl. Mentri Supeno No. 28 BC,-7.815994969,110.378039,431428.718,9135993.489,,,,,,,,,,,,,,,,
206,Griya Asrie Homestay,Non Bintang,Pondok Wisata,5,Prawirotaman MG 3 No.578,-7.817757812,110.3723618,430803.0707,9135797.666,,,,,,,,,,,,,,,,
207,Griya Jogja Hotel,Non Bintang,Melati,20,Jl. Pakuningratan No. 3,-7.767820321,110.3581632,429229.2278,9141316.255,,,,,,,,,,,,,,,,
208,Griya Kayon,Non Bintang,Akomodasi Lain,6,"Mojo 2, GK IV/415 Gendeng",-7.790183658,110.3877345,432493.5509,9138848.667,,,,,,,,,,,,,,,,
209,Griya Kebun Raya Guest House,Non Bintang,Akomodasi Lain,14,Kebun Raya No.45,-7.807793278,110.398127,433642.2051,9136903.456,,,,,,,,,,,,,,,,
210,Griya Nalendra Guest House,Non Bintang,Pondok Wisata,10,Kepuh GK3/1050,-7.782074624,110.385916,432291.7349,9139744.883,,,,,,,,,,,,,,,,
211,Griya Paku,Non Bintang,Akomodasi Lain,11,Pakuningratan No. 58,-7.780475373,110.3623305,429690.8533,9139917.844,,,,,,,,,,,,,,,,
212,Griya Patehan,Non Bintang,Akomodasi Lain,5,Patehan Lor No. 22 ,-7.811622038,110.3611696,429568.0595,9136474.165,,,,,,,,,,,,,,,,
213,Griya Putri Dewi Guest House,Non Bintang,Akomodasi Lain,11,SuriptoNo. 506 A,-7.822776412,110.3657348,430073.2497,9135241.73,,,,,,,,,,,,,,,,
214,Griya Sastrowardoyo Guest House,Non Bintang,Akomodasi Lain,7,Jl. AM Sangaji No. 60,-7.77541716,110.3681987,430337.0681,9140478.035,,,,,,,,,,,,,,,,
215,Griya Sentana Hotel,Non Bintang,Melati,18,Jl. Gowongan Lor No 65-67,-7.784986246,110.3634208,429811.8276,9139419.317,,,,,,,,,,,,,,,,
216,Griya Surya Wijilan,Non Bintang,Akomodasi Lain,3,Ibu Ruswo No. 25,-7.803153728,110.3669019,430198.6716,9137411.35,,,,,,,,,,,,,,,,
217,Griya Wijilan Syariah Home Stay,Non Bintang,Pondok Wisata,10,Jl. Wijilan PB 1 No. 21,-7.804608076,110.3660911,430109.5145,9137250.428,,,,,,,,,,,,,,,,
218,Griya Yunika,Non Bintang,Akomodasi Lain,10,Gatotkaca No. 10,-7.802893728,110.3501254,428348.8761,9137437.283,,,,,,,,,,,,,,,,
219,Griyo Inggil,Non Bintang,Akomodasi Lain,8,Sosrowijayan Wetan GT 1 No. 104,-7.789852338,110.3639445,429870.3754,9138881.423,,,,,,,,,,,,,,,,
220,H Boutique Hotel,Bintang,Bintang Tiga,90,Jl. Prof Herman Yohanes No. 1,-7.789884228,110.3638908,429864.4658,9138877.888,,,,,,,,,,,,,,,,
221,Handayani Homestay Yamtana,Non Bintang,Akomodasi Lain,15,Sosrowijayan Wetan GT 1/103,-7.790346019,110.3654163,430032.7401,9138827.087,,,,,,,,,,,,,,,,
222,Happy Buddha Hostel,Non Bintang,Akomodasi Lain,7,Prawirotaman No. 21,-7.818516496,110.3708134,430632.4817,9135713.534,,,,,,,,,,,,,,,,
223,Happy Family Hotel,Non Bintang,Melati,28,Jl. Jlagran No. 10,-7.790534749,110.3604646,429486.792,9138805.399,,,,,,,,,,,,,,,,
224,Happy Penginapan ,Non Bintang,Melati,7,Sosrokusuman DN I/174 Suryatmajan,-7.790225692,110.3674271,430254.4361,9138840.722,,,,,,,,,,,,,,,,
225,Happynest BNB Hostel,Non Bintang,Vila,2,Gang Demarkasi Timuran No. 17B,-7.815330344,110.3691489,430448.4331,9136065.511,,,,,,,,,,,,,,,,
226,Harmony Inn Hotel,Non Bintang,Melati,25,Jl. Parangtritis Gg. Sartono MJ III/812,-7.819296655,110.3661327,430116.5462,9135626.508,,,,,,,,,,,,,,,,
227,Harper Mangkubumi Yogyakarta Hotel,Bintang,Bintang Empat,131,Jl. Mangkubumi No. 52,-7.784442296,110.3671764,430225.8325,9139480.076,,,,,,,,,,,,,,,,
228,Harum Noerika Hotel,Non Bintang,Melati,18,Jl. Sosrowijayan GT 1/78,-7.791166338,110.364615,429944.533,9138736.262,,,,,,,,,,,,,,,,
229,Hasian Motel,Non Bintang,Melati,10,Jl. Perwakilan No. 26-27,-7.79243414,110.3671362,430222.7306,9138596.515,,,,,,,,,,,,,,,,
230,HD Inn Homestay,Non Bintang,Pondok Wisata,7,Jl. Mayor Suryotomo No. 575,-7.796916235,110.3695019,430484.3139,9138101.378,,,,,,,,,,,,,,,,
231,Hendarum Homestay,Non Bintang,Vila,1,Jetisharjo JT 2/374,-7.776865083,110.3689793,430423.3778,9140318.086,,,,,,,,,,,,,,,,
232,Heryon Hotel,Non Bintang,Melati,36,Jl. Menteri Supeno No. 28 D,-7.816191436,110.377696,431390.9297,9135971.713,,,,,,,,,,,,,,,,
233,Hidayah Wisma,Non Bintang,Melati,19,Jl. H Agus Salim No. 12,-7.804147276,110.3601262,429451.7647,9137300.38,,,,,,,,,,,,,,,,
234,Hinggil Family Homestay,Non Bintang,Akomodasi Lain,8,Tentara Rakyat Mataram No. 5,-7.786816647,110.3576517,429176.0148,9139215.991,,,,,,,,,,,,,,,,
235,Hom Platinum/Gowongan,Bintang,Bintang Tiga,112,Jl. Gowongan Kidul No. 57,-7.785903376,110.3665554,430157.6014,9139318.44,,,,,,,,,,,,,,,,
236,Home 24 Hotel,Non Bintang,Pondok Wisata,3,Jl. Suryatmajan 24,-7.796109401,110.3657233,430067.5468,9138189.955,,,,,,,,,,,,,,,,
237,Home Addicts Hostel,Non Bintang,Akomodasi Lain,14,Kapten Tendean Gang Nakula No.2,-7.805222535,110.3503715,428376.4069,9137179.858,,,,,,,,,,,,,,,,
238,Dhaup Utami Isti Astuti Homestay,Non Bintang,Pondok Wisata,8,Jl. Panembahan No. 9,-7.805867589,110.3673668,430250.3766,9137111.391,,,,,,,,,,,,,,,,
239,Manggo Tree Homestay,Non Bintang,Pondok Wisata,10,Pujokusuman MG I/447,-7.812764309,110.3707267,430621.9745,9136349.464,,,,,,,,,,,,,,,,
240,Ndalem Mantrigawen Thomas Aquinas Homestay,Non Bintang,Pondok Wisata,15,Jl. Mantrigawen Lor No. 15,-7.80854821,110.3682947,430353.1325,9136815.183,,,,,,,,,,,,,,,,
241,Omah Djokdja Zulkifli Homestay,Non Bintang,Pondok Wisata,5,Jl. Pakaryan No. 3,-7.807546448,110.367385,430252.6608,9136925.784,,,,,,,,,,,,,,,,
242,Wisma Oepomo Homestay,Non Bintang,Melati,7,Jl. Suryo Metaraman Wetan No. 18,-7.808435331,110.3684975,430375.4669,9136827.696,,,,,,,,,,,,,,,,
243,Bu Marto Homestay,Non Bintang,Pondok Wisata,4,Pajeksan GT I/ 524,-7.79375457,110.3650518,429993.1224,9138450.187,,,,,,,,,,,,,,,,
244,Candra 2 (HOC2) Lowanu Homestay,Non Bintang,Vila,4,Lowanu MG III/1323 A,-7.817472783,110.3697375,430513.6791,9135828.746,,,,,,,,,,,,,,,,
245,Chatarina Homestay,Non Bintang,Pondok Wisata,4,Sosrowijayan No. 41 ,-7.791042329,110.3631425,429782.1446,9138749.728,,,,,,,,,,,,,,,,
246,Comfy 2 Homestay,Non Bintang,Akomodasi Lain,10,Prof. Dr. Sarjito No. 14A,-7.750915866,110.3702848,430563.0689,9143187.162,,,,,,,,,,,,,,,,
247,Mamagayo Inn Homestay,Non Bintang,Pondok Wisata,9,Jl. Suryodiningratan No. 42A,-7.81729275,110.3583547,429258.655,9135846.755,,,,,,,,,,,,,,,,
248,Pondok Puspita Homestay ,Non Bintang,Pondok Wisata,8,Jl. Gading No. 5A,-7.812717956,110.3631618,429787.8957,9136353.336,,,,,,,,,,,,,,,,
249,Siti Maryam Homestay,Non Bintang,Pondok Wisata,4,Jl. Suryoputran No. 35,-7.809353108,110.366334,430137.0842,9136725.871,,,,,,,,,,,,,,,,
250,Horison Ultima Riss Yogyakarta,Bintang,Bintang Empat,94,Jl. Gowongan Kidul No. 33-49,-7.787409637,110.3644008,429920.2848,9139151.556,,,,,,,,,,,,,,,,
251,Horison Urip Sumoharjo,Bintang,Bintang Tiga,108,Jl. Urip Sumoharjo 137,-7.782594034,110.3868879,432398.9843,9139687.614,,,,,,,,,,,,,,,,
252,Penak Malioboro Hostel,Non Bintang,Akomodasi Lain,16,Gemblakan Atas DN 1/325,-7.79219734,110.3678323,430299.4405,9138622.81,,,,,,,,,,,,,,,,
253,Al-Ashiri Inn Hotel,Non Bintang,Melati,61,DI. Panjaitan No.104,-7.821922356,110.3614307,429598.5672,9135335.434,,,,,,,,,,,,,,,,
254,Amarta Hotel,Non Bintang,Melati,27,Jl. Dagen No. 12,-7.799203125,110.3408811,427328.9784,9137843.727,,,,,,,,,,,,,,,,
255,Baru Hotel,Non Bintang,Melati,10,Jl. Gowongan Kidul No. 19,-7.787397537,110.365255,430014.4638,9139153.036,,,,,,,,,,,,,,,,
256,Dermaga Keluarga Hotel,Non Bintang,Melati,39,Jl. RE. Martadinata No. 69 Wirobrajan,-7.800742264,110.3493693,428265.144,9137675.015,,,,,,,,,,,,,,,,
257,Kumbokarno Utama Hotel,Non Bintang,Melati,24,Jl. Mangkubumi No. 60,-7.783443805,110.3670672,430213.6313,9139590.448,,,,,,,,,,,,,,,,
258,Pramesthi Hotel,Non Bintang,Melati,33,Jl. Mangkuyudan No. 44,-7.821774269,110.3653791,430033.864,9135352.465,,,,,,,,,,,,,,,,
259,Ratna Hotel,Non Bintang,Melati,15,Pasar Kembang No. 17A,-7.789728919,110.3649364,429979.7264,9138895.232,,,,,,,,,,,,,,,,
260,House 24,Non Bintang,Pondok Wisata,12,Jl. Jogokariyan 24,-7.824007231,110.3634318,429819.5479,9135105.27,,,,,,,,,,,,,,,,
261,House of Chandra,Non Bintang,Pondok Wisata,4,Tamansiswa Gang Warsokusumo Nyutran MG 2 No 1433,-7.80831386,110.375877,431189.0924,9136842.336,,,,,,,,,,,,,,,,
262,House of Moedjito Homestay,Non Bintang,Pondok Wisata,6,Jl. Tribrata I No. 3,-7.808282258,110.3758451,431185.5704,9136845.825,,,,,,,,,,,,,,,,
263,Hoz Bed And Breakfast,Non Bintang,Pondok Wisata,5,Gedongkiwo MJI/977 A,-7.808307539,110.3758451,431185.5745,9136843.03,,,,,,,,,,,,,,,,
264,Hutomo Hotel,Non Bintang,Melati,9,Jl. Gedong Kuning No. 110,-7.811759721,110.4018902,434057.7395,9136465.531,,,,,,,,,,,,,,,,
265,Ibis Hotel,Bintang,Bintang Tiga,85,Jl. Malioboro 52-58,-7.811717204,110.4018794,434056.55,9136470.23,,,,,,,,,,,,,,,,
266,Ibis Styles,Bintang,Bintang Tiga,112,Jl. Dagen No. 109,-7.79360707,110.3615186,429603.5223,9138465.907,,,,,,,,,,,,,,,,
267,Ibu Hartono Homestay,Non Bintang,Pondok Wisata,7,Jl. Krasak Timur No. 28 B,-7.788631055,110.3774369,431357.8675,9139018.659,,,,,,,,,,,,,,,,
268,Imogen Homestay,Non Bintang,Akomodasi Lain,5,Pugeran Timur No. 6,-7.81424711,110.3590464,429334.4055,9136183.589,,,,,,,,,,,,,,,,
269,Indah Guest Hotel,Non Bintang,Melati,14,Jl. Jogonegaran No. 10,-7.822766668,110.3546331,428849.254,9135240.946,,,,,,,,,,,,,,,,
270,Indah Palace Hotel,Bintang,Bintang Dua,26,Jl. Sisingamangaraja No. 74,-7.818287925,110.3729188,430864.5679,9135739.15,,,,,,,,,,,,,,,,
271,Indies Hotel,Bintang,Bintang Tiga,74,Prawirotaman III No. 3,-7.820460859,110.3694835,430486.1755,9135498.351,,,,,,,,,,,,,,,,
272,Indonesia Hotel,Non Bintang,Melati,28,Jl. Sosrowijayan No. 9,-7.79150165,110.3651846,430007.3845,9138699.285,,,,,,,,,,,,,,,,
273,Indrakila Hotel,Non Bintang,Melati,20,Jl. Tirtodipuran No. 30,-7.818360892,110.3650932,430001.7803,9135729.79,,,,,,,,,,,,,,,,
274,Indraloka Heritage Homestay,Non Bintang,Melati,16,Jl. Cik Ditiro No. 18,-7.779283472,110.37572,431167.0349,9140051.818,,,,,,,,,,,,,,,,
275,Indraprasta Homestay,Non Bintang,Pondok Wisata,10,Timuran MG 3/169,-7.787011116,110.3517301,428523.1188,9139193.495,,,,,,,,,,,,,,,,
276,Inna Garuda Hotel,Bintang,Bintang Empat,222,Jl. Malioboro No. 60,-7.790725269,110.3665871,430161.8954,9138785.352,,,,,,,,,,,,,,,,
277,"Ipienk House, PT",Non Bintang,Pondok Wisata,7,Bausasran DN 3 No. 719-720,-7.796444153,110.3747785,431066.0315,9138154.435,,,,,,,,,,,,,,,,
278,Iraa Hotel,Non Bintang,Melati,30,Jl. Bausasran No. 62,-7.797058913,110.3767616,431284.7827,9138086.792,,,,,,,,,,,,,,,,
